#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_pacific_rim;Empire of the Pacific Rim;;;;;;;;;;;;;x # Name will probably change
k_mindanao;Mindanao;;;;;;;;;;;;;x
d_palawan;Palawan;;;;;;;;;;;;;x
d_suba;Suba;;;;;;;;;;;;;x
d_mindoro;Mindoro;;;;;;;;;;;;;x
d_sorsogon;Sorsogon;;;;;;;;;;;;;x
b_pili;Pili;;;;;;;;;;;;;x
b_daet;Daet;;;;;;;;;;;;;x
b_malunay;Malunay;;;;;;;;;;;;;x
b_balanga;Balanga;;;;;;;;;;;;;x
b_lingayen;Lingayen;;;;;;;;;;;;;x
b_bayombong;Bayombong;;;;;;;;;;;;;x
d_samtoy;Samtoy;;;;;;;;;;;;;x
b_kabugao;Kabugao;;;;;;;;;;;;;x
