#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
yoruba;Yoruba;;;;;;;;;;;;;x
d_yola;Yola;;;;;;;;;;;;;x
c_yola;Yola;;;;;;;;;;;;;x
b_yola;Yola;;;;;;;;;;;;;x
b_demsa;Demsa;;;;;;;;;;;;;x
b_jada;Jada;;;;;;;;;;;;;x
b_ganye;Ganye;;;;;;;;;;;;;x
b_mubi;Mubi;;;;;;;;;;;;;x
b_numan;Numan;;;;;;;;;;;;;x
b_toungo;Toungo;;;;;;;;;;;;;x
c_wukari;Wukari;;;;;;;;;;;;;x
b_wukari;Wukari;;;;;;;;;;;;;x
b_jalingo;Jalingo;;;;;;;;;;;;;x
b_ardo_kola;Ardo Kola;;;;;;;;;;;;;x
b_sardauna;Sardauna;;;;;;;;;;;;;x
b_takum;Takum;;;;;;;;;;;;;x
b_karim_lamido;Karim Lamido;;;;;;;;;;;;;x
b_donga;Donga;;;;;;;;;;;;;x
d_zazzau;Zazzau;;;;;;;;;;;;;x
c_zazzau;Zazzau;;;;;;;;;;;;;x
b_zazzau;Zazzau;;;;;;;;;;;;;x
b_kagarko;Kagarko;;;;;;;;;;;;;x
b_kaura;Kaura;;;;;;;;;;;;;x
b_kachia;Kachia;;;;;;;;;;;;;x
b_ikara;Ikara;;;;;;;;;;;;;x
b_kudan;Kudan;;;;;;;;;;;;;x
b_kajure;Kajure;;;;;;;;;;;;;x
c_igala;Igala;;;;;;;;;;;;;x
b_idah;Idah;;;;;;;;;;;;;x
c_nupe;Nupe;;;;;;;;;;;;;x
b_nupe;Nupe;;;;;;;;;;;;;x
c_futa_jallon;Futa Jallon;;;;;;;;;;;;;x
b_timbo;Timbo;;;;;;;;;;;;;x
c_beafada;Beafada;;;;;;;;;;;;;x
b_beafada;Beafada;;;;;;;;;;;;;x
k_bonoman;Bonoman;;;;;;;;;;;;;x
d_kong;Kong;;;;;;;;;;;;;x
c_bagoe;Bagoe;;;;;;;;;;;;;x
b_tingrela;Tingrela;;;;;;;;;;;;;x
c_kong;Kong;;;;;;;;;;;;;x
b_kong;Kong;;;;;;;;;;;;;x
c_lobi;Lobi;;;;;;;;;;;;;x
b_lobi;Lobi;;;;;;;;;;;;;x
d_bonoman;Bonoman;;;;;;;;;;;;;x
c_bonoman;Bonoman;;;;;;;;;;;;;x
b_bono_manso;Bono Manso;;;;;;;;;;;;;x
b_begho;Begho;;;;;;;;;;;;;x
b_techiman;Techiman;;;;;;;;;;;;;x
b_berekum;Berekum;;;;;;;;;;;;;x
b_kintampo;Kintampo;;;;;;;;;;;;;x
b_nkoranza;Nkoranza;;;;;;;;;;;;;x
b_sunyani;Sunyani;;;;;;;;;;;;;x
c_tenkodogo;Tenkodogo;;;;;;;;;;;;;x
b_tenkodogo;Tenkodogo;;;;;;;;;;;;;x
b_bane;Bane;;;;;;;;;;;;;x
b_niagho;Niagho;;;;;;;;;;;;;x
b_komtoega;Komtoega;;;;;;;;;;;;;x
b_zabre;Zabre;;;;;;;;;;;;;x
b_garango;Garango;;;;;;;;;;;;;x
b_beguedo;Beguedo;;;;;;;;;;;;;x
c_dagbon;Dagbon;;;;;;;;;;;;;x
b_yendi;Yendi;;;;;;;;;;;;;x
b_tamale;Tamale;;;;;;;;;;;;;x
b_bole;Bole;;;;;;;;;;;;;x
b_bolgatanga;Bolgatanga;;;;;;;;;;;;;x
b_binduri;Binduri;;;;;;;;;;;;;x
b_jirapa;Jirapa;;;;;;;;;;;;;x
b_damongo;Damongo;;;;;;;;;;;;;x
c_kumasi;Kumasi;;;;;;;;;;;;;x
b_kumasi;Kumasi;;;;;;;;;;;;;x
b_kumawu;Kumawu;;;;;;;;;;;;;x
b_asokore_mampong;Asokore Mampong;;;;;;;;;;;;;x
b_konongo_odumase;Konongo Odumase;;;;;;;;;;;;;x
b_fomena;Fomena;;;;;;;;;;;;;x
b_nyinahin;Nyinahin;;;;;;;;;;;;;x
b_kuntenase;Kuntenase;;;;;;;;;;;;;x
k_oyo;Oyo;;;;;;;;;;;;;x
d_oyo;Oyo;;;;;;;;;;;;;x
c_mossi;Mossi;;;;;;;;;;;;;x
b_mossi;Mossi;;;;;;;;;;;;;x
c_oyo;Oyo;;;;;;;;;;;;;x
b_oyo;Oyo;;;;;;;;;;;;;x
b_afijio_jobele;Afijio Jobele;;;;;;;;;;;;;x
b_akinyele_moniya;Akinyele Moniya;;;;;;;;;;;;;x
b_okeho;Okeho;;;;;;;;;;;;;x
b_oluyole;Oluyole;;;;;;;;;;;;;x
b_iwajowa;Iwajowa;;;;;;;;;;;;;x
b_ogbomosho;Ogbomosho;;;;;;;;;;;;;x
c_borgu;Borgu;;;;;;;;;;;;;x
b_bussa;Bussa;;;;;;;;;;;;;x
b_nikki;Niki;;;;;;;;;;;;;x
b_illo;Illo;;;;;;;;;;;;;x
c_abomey;Abomey;;;;;;;;;;;;;x
b_abomey;Abomey;;;;;;;;;;;;;x
b_djidja;Djidja;;;;;;;;;;;;;x
b_za_kpota;Za-Kpota;;;;;;;;;;;;;x
b_zogbodomey;Zogbodomey;;;;;;;;;;;;;x
b_zangnanado;Zangnanado;;;;;;;;;;;;;x
b_ouinhi;Ouinhi;;;;;;;;;;;;;x
b_agbangnizoun;Agbangnizoun;;;;;;;;;;;;;x
